Entry	Info			Status	Organism	Organism ID
Q8KLK2	E-value: 450E-162;	Score: 1,187;	Ident.: 67.5%		unreviewed	Streptomyces toyocaensis	55952
A0A0M9XEA6	E-value: 1.1E-159;	Score: 1,184;	Ident.: 67.1%		unreviewed	Streptomyces rimosus subsp. rimosus	132474
A0A1H5D5Y3	E-value: 1.1E-159;	Score: 1,184;	Ident.: 67.0%		unreviewed	Streptomyces sp. PAN_FS17	1855351
A0A0X7JPY4	E-value: 1.1E-159;	Score: 1,184;	Ident.: 67.1%		unreviewed	Streptomyces albus subsp. albus	67257
A0A0L8MN00	E-value: 1.6E-159;	Score: 1,183;	Ident.: 67.1%		unreviewed	Streptomyces griseoflavus	35619
A0A0M8RT71	E-value: 1.6E-159;	Score: 1,183;	Ident.: 67.1%		unreviewed	Streptomyces sp. NRRL F-5755	1519475
A0A0X3R9H6	E-value: 6.5E-159;	Score: 1,179;	Ident.: 66.8%		unreviewed	Streptomyces rimosus subsp. rimosus	132474
A0A0M8R600	E-value: 6.5E-159;	Score: 1,179;	Ident.: 66.8%		unreviewed	Streptomyces rimosus subsp. pseudoverticillatus	1464079
A0A0L8NY85	E-value: 6.5E-159;	Score: 1,179;	Ident.: 66.8%		unreviewed	Kitasatospora aureofaciens (Streptomyces aureofaciens)	1894
A0A060ZG08	E-value: 21E-159;	Score: 1,178;	Ident.: 63.3%		unreviewed	Streptomyces iranensis	576784
A0A014L0V8	E-value: 70E-159;	Score: 1,173;	Ident.: 65.2%		unreviewed	Streptomyces sp. PRh5	1158056
A0A1V4DA57	E-value: 120E-159;	Score: 1,172;	Ident.: 64.6%		unreviewed	Streptomyces antioxidans	1507734
A0A239IMI7	E-value: 210E-159;	Score: 1,169;	Ident.: 65.4%		unreviewed	Actinoplanes regularis	52697
A0A2K9F727	E-value: 1.4E-156;	Score: 1,164;	Ident.: 66.8%		unreviewed	Streptomyces sp. CMB-StM0423	2059884
A0A081ENN5	E-value: 5.2E-156;	Score: 1,160;	Ident.: 67.7%		unreviewed	Streptomyces fradiae (Streptomyces roseoflavus)	1906
A0A2S8AUF5	E-value: 5.2E-156;	Score: 1,160;	Ident.: 67.7%		unreviewed	Streptomyces xinghaiensis	1038928
L8EWC2	E-value: 19E-156;	Score: 1,154;	Ident.: 66.6%		unreviewed	Streptomyces rimosus subsp. rimosus (strain ATCC 10970 / DSM 40260 / JCM 4667 / NRRL 2234)	1265868
A0A0F7NF08	E-value: 91E-156;	Score: 1,152;	Ident.: 65.4%		unreviewed	Streptomyces sp. CNQ-509	444103
A0A2M9AN47	E-value: 260E-156;	Score: 1,149;	Ident.: 65.9%		unreviewed	Streptomyces sp. CNZ306	2035248
A0A1H0URP9	E-value: 37E-153;	Score: 1,134;	Ident.: 63.6%		unreviewed	Streptomyces sp. cf386	1761904
Q93N78	E-value: 810E-153;	Score: 1,123;	Ident.: 67.4%		unreviewed	Streptomyces lavendulae	1914
A0A0X3VXR8	E-value: 2.2E-150;	Score: 1,123;	Ident.: 63.6%		unreviewed	Streptomyces sp. NRRL S-1521	1609100
A0A291QLY4	E-value: 3.3E-150;	Score: 1,122;	Ident.: 62.0%		unreviewed	Streptomyces formicae	1616117
A0A2P4UIU2	E-value: 4.2E-150;	Score: 1,121;	Ident.: 62.5%		unreviewed	Actinomadura sp. 5-2	1926885
A0A0N1FX70	E-value: 4.8E-150;	Score: 1,121;	Ident.: 64.9%		unreviewed	Actinobacteria bacterium OK074	1592327
A0A1P8TBL7	E-value: 26E-150;	Score: 1,116;	Ident.: 63.6%		unreviewed	Streptomyces alfalfae	1642299
Q7WZ89	E-value: 1.7E-147;	Score: 1,103;	Ident.: 63.0%		unreviewed	Nonomuraea gerenzanensis	93944
A0A1M4E1E9	E-value: 6.6E-144;	Score: 1,078;	Ident.: 62.8%		unreviewed	Nonomuraea gerenzanensis	93944
A0A0C2BHS9	E-value: 380E-135;	Score: 1,009;	Ident.: 58.3%		unreviewed	Streptomyces sp. 150FB	1576605
A0A1C4K0X3	E-value: 3.4E-132;	Score: 1,003;	Ident.: 58.8%		unreviewed	Streptomyces sp. DvalAA-43	1839762
A0A1H9SZW5	E-value: 49E-132;	Score: 994;	Ident.: 59.5%		unreviewed	Lechevalieria xinjiangensis	402600
A0A0K2B0T1	E-value: 1.3E-129;	Score: 988;	Ident.: 56.8%		unreviewed	Streptomyces ambofaciens ATCC 23877	278992
A0A0F2TK79	E-value: 1.4E-129;	Score: 985;	Ident.: 58.0%		unreviewed	Streptomyces rubellomurinus (strain ATCC 31215)	359131
A0A0F2T1C2	E-value: 1.4E-129;	Score: 985;	Ident.: 58.0%		unreviewed	Streptomyces rubellomurinus subsp. indigoferus	1615590
A0A0M8S8C5	E-value: 140E-129;	Score: 973;	Ident.: 56.7%		unreviewed	Streptomyces sp. WM6372	1415555
A0A1H7DR06	E-value: 1.7E-126;	Score: 965;	Ident.: 57.3%		unreviewed	Xiangella phaseoli	1144548
A0A024Z1N6	E-value: 310E-126;	Score: 950;	Ident.: 56.9%		unreviewed	Streptomyces sp. PCS3-D2	1460244
A0A1H9C1H7	E-value: 3.0E-123;	Score: 943;	Ident.: 56.3%		unreviewed	Lentzea albida	65499
A0A0M8UH74	E-value: 4.2E-123;	Score: 942;	Ident.: 56.6%		unreviewed	Streptomyces sp. H036	1519487
A0A285QWB7	E-value: 16E-123;	Score: 938;	Ident.: 56.6%		unreviewed	Streptomyces sp. 1331.2	1938835
W5WF67	E-value: 300E-123;	Score: 930;	Ident.: 56.0%		unreviewed	Kutzneria albida DSM 43870	1449976
A0A2T0T7M6	E-value: 1.1E-120;	Score: 926;	Ident.: 56.4%		unreviewed	Umezawaea tangerina	84725
A0A0F4IHJ4	E-value: 1.6E-120;	Score: 925;	Ident.: 55.5%		unreviewed	Streptomyces sp. NRRL S-104	1609135
A0A2N3VNJ1	E-value: 2.1E-120;	Score: 924;	Ident.: 56.0%		unreviewed	Streptomyces sp. TLI_146	1938858
A0A0N0STQ2	E-value: 2.2E-120;	Score: 924;	Ident.: 55.5%		unreviewed	Streptomyces sp. H021	1519486
A0A0T6LXK1	E-value: 42E-120;	Score: 916;	Ident.: 55.5%		unreviewed	Streptomyces vitaminophilus	76728
A0A1Q4VLM1	E-value: 52E-120;	Score: 915;	Ident.: 53.8%		unreviewed	Streptomyces sp. CB02056	1703924
A0A191UTK4	E-value: 4.9E-117;	Score: 903;	Ident.: 55.8%		unreviewed	Streptomyces parvulus	146923
A0A1V9KHI7	E-value: 24E-117;	Score: 898;	Ident.: 55.5%		unreviewed	Streptomyces sp. M41(2017)	1955065
A0A317M4F9	E-value: 370E-117;	Score: 889;	Ident.: 52.0%		unreviewed	Nocardiopsis sp. L17-MgMaSL7	1938893
A0A191VAH1	E-value: 3.1E-114;	Score: 884;	Ident.: 53.9%		unreviewed	Streptomyces parvulus	146923
A0A101NK59	E-value: 3.1E-114;	Score: 884;	Ident.: 54.9%		unreviewed	Streptomyces yokosukanensis	67386
D6AU65	E-value: 15E-114;	Score: 879;	Ident.: 52.7%		unreviewed	Streptomyces filamentosus NRRL 15998	457431
V6UI80	E-value: 15E-114;	Score: 879;	Ident.: 52.7%		unreviewed	Streptomyces sp. HCCB10043	1396518
W9FYV8	E-value: 15E-114;	Score: 879;	Ident.: 52.7%		unreviewed	Streptomyces filamentosus NRRL 11379	457430
I6SR56	E-value: 15E-114;	Score: 879;	Ident.: 52.7%		unreviewed	Streptomyces parvus	66428
A0A0G3FFZ2	E-value: 42E-114;	Score: 876;	Ident.: 52.8%		unreviewed	Streptomyces sp. Tue 6075	1661694
C6WLN0	E-value: 180E-114;	Score: 871;	Ident.: 53.4%		unreviewed	Actinosynnema mirum (strain ATCC 29888 / DSM 43827 / NBRC 14064 / IMRU 3971)	446462
Q5J1Q8	E-value: 180E-114;	Score: 871;	Ident.: 53.4%		unreviewed	Nocardia uniformis subsp. tsuyamanensis	96045
A0A1Q9TGT5	E-value: 430E-114;	Score: 869;	Ident.: 53.1%		unreviewed	Nocardiopsis sp. CNR-923	1904965
A0A2N8PHZ1	E-value: 440E-114;	Score: 870;	Ident.: 52.3%		unreviewed	Streptomyces noursei	1971
A0A1I4E461	E-value: 2.5E-111;	Score: 865;	Ident.: 50.9%		unreviewed	Streptosporangium canum	324952
A0A1M7KP17	E-value: 5.0E-111;	Score: 863;	Ident.: 52.0%		unreviewed	Streptomyces yunnanensis	156453
A0A1W5XUX2	E-value: 17E-111;	Score: 859;	Ident.: 50.4%		unreviewed	Streptomyces sp. MOE7	1961713
A0A2T4NTS6	E-value: 22E-111;	Score: 858;	Ident.: 52.1%		unreviewed	Streptomyces sp. A244	2137016
A0A1C4TEB1	E-value: 25E-111;	Score: 859;	Ident.: 50.0%		unreviewed	Streptomyces sp. DvalAA-43	1839762
S5UCV9	E-value: 29E-111;	Score: 857;	Ident.: 51.9%		unreviewed	uncultured bacterium esnapd15	1366595
A0A2T0K9E9	E-value: 46E-111;	Score: 856;	Ident.: 51.6%		unreviewed	Actinoplanes italicus	113567
A0A1D7VRH1	E-value: 190E-111;	Score: 852;	Ident.: 50.4%		unreviewed	Streptomyces lydicus	47763
D2B8R5	E-value: 230E-111;	Score: 852;	Ident.: 51.6%		unreviewed	Streptosporangium roseum (strain ATCC 12428 / DSM 43021 / JCM 3005 / NI 9100)	479432
Q70AX1	E-value: 320E-111;	Score: 850;	Ident.: 51.9%		unreviewed	Actinoplanes teichomyceticus	1867
Q6ZZG5	E-value: 350E-111;	Score: 850;	Ident.: 51.9%		unreviewed	Actinoplanes teichomyceticus	1867
A0A2G6XZC2	E-value: 560E-111;	Score: 849;	Ident.: 50.0%		unreviewed	Streptomyces sp. 76	2035220
A0A1L7F8E4	E-value: 610E-111;	Score: 848;	Ident.: 51.9%		unreviewed	Actinoalloteichus sp. GBA129-24	1612551
A0A243R8Q0	E-value: 930E-111;	Score: 848;	Ident.: 50.0%		unreviewed	Streptosporangium minutum	569862
A0A2P2CLE7	E-value: 1.8E-108;	Score: 846;	Ident.: 53.7%		unreviewed	Streptomyces sp. CNB091	1169156
A0A2G7AFD0	E-value: 1.8E-108;	Score: 847;	Ident.: 51.0%		unreviewed	Streptomyces sp. 94	2035218
A0A2N3JZD6	E-value: 2.9E-108;	Score: 844;	Ident.: 52.6%		unreviewed	Streptomyces sp. EAG2	2056495
A0A101NRJ5	E-value: 5.5E-108;	Score: 843;	Ident.: 49.9%		unreviewed	Streptomyces yokosukanensis	67386
E9L1J8	E-value: 7.4E-108;	Score: 841;	Ident.: 50.7%		unreviewed	uncultured organism CA37	941420
A0A1H4ZTL2	E-value: 16E-108;	Score: 839;	Ident.: 51.6%		unreviewed	Streptomyces sp. PAN_FS17	1855351
A0A209BIG8	E-value: 16E-108;	Score: 839;	Ident.: 52.4%		unreviewed	Streptomyces sp. CS227	1982763
A0A1M6TPX1	E-value: 25E-108;	Score: 837;	Ident.: 51.5%		unreviewed	Nocardiopsis flavescens	758803
A0A1S2QFP9	E-value: 47E-108;	Score: 836;	Ident.: 51.3%		unreviewed	Streptomyces sp. MUSC 1	1678012
A0A0H1B534	E-value: 94E-108;	Score: 834;	Ident.: 52.1%		unreviewed	Streptomyces sp. KE1	1638939
A0A2M9HTW5	E-value: 130E-108;	Score: 833;	Ident.: 52.1%		unreviewed	Streptomyces sp. TSRI0384-2	2020331
A0A1Q5L641	E-value: 140E-108;	Score: 835;	Ident.: 51.6%		unreviewed	Streptomyces sp. TSRI0107	1703942
A0A2A4KRP8	E-value: 200E-108;	Score: 832;	Ident.: 51.1%		unreviewed	Streptomyces sp. WZ.A104	2023771
A0A2U0X424	E-value: 380E-108;	Score: 830;	Ident.: 51.0%		unreviewed	Streptomyces sp. 3212.2	2135787
A0A2G7C5X3	E-value: 380E-108;	Score: 830;	Ident.: 51.0%		unreviewed	Streptomyces sp. 93	2035219
A0A191V5Q1	E-value: 380E-108;	Score: 830;	Ident.: 52.4%		unreviewed	Streptomyces parvulus	146923
A0A2I7YMQ6	E-value: 940E-108;	Score: 827;	Ident.: 50.1%		unreviewed	Actinoalloteichus sp. AHMU CJ021	2072503
A0A1G6S1D3	E-value: 1.7E-105;	Score: 825;	Ident.: 52.7%		unreviewed	Alloactinosynnema iranicum	1271860
R1I6U5	E-value: 3.4E-105;	Score: 823;	Ident.: 51.0%		unreviewed	Amycolatopsis vancoresmycina DSM 44592	1292037
A0A291QJN3	E-value: 4.3E-105;	Score: 823;	Ident.: 51.6%		unreviewed	Streptomyces formicae	1616117
A0A0K3B554	E-value: 6.1E-105;	Score: 821;	Ident.: 51.2%		unreviewed	Kibdelosporangium sp. MJ126-NF4	703222
A0A1H0HD50	E-value: 15E-105;	Score: 820;	Ident.: 51.2%		unreviewed	Alloactinosynnema album	504798
A0A2H5AVH4	E-value: 100E-105;	Score: 815;	Ident.: 49.6%		unreviewed	Kitasatospora sp. MMS16-BH015	2018025
A0A1L9DIN2	E-value: 510E-105;	Score: 809;	Ident.: 50.6%		unreviewed	Streptomyces viridifaciens	48665
A0A0W7X830	E-value: 770E-105;	Score: 812;	Ident.: 49.3%		unreviewed	Streptomyces silvensis	1765722
A0A291Q2V7	E-value: 3.1E-102;	Score: 836;	Ident.: 50.7%		unreviewed	Streptomyces formicae	1616117
A0A1I6XCV7	E-value: 4.2E-102;	Score: 804;	Ident.: 50.1%		unreviewed	Actinopolyspora righensis	995060
W7IHE9	E-value: 8.0E-102;	Score: 800;	Ident.: 51.5%		unreviewed	Actinokineospora spheciospongiae	909613
V6KG33	E-value: 9.5E-102;	Score: 801;	Ident.: 50.6%		unreviewed	Streptomyces roseochromogenus subsp. oscitans DS 12.976	1352936
A0A0N0TR45	E-value: 22E-102;	Score: 799;	Ident.: 48.7%		unreviewed	Saccharothrix sp. NRRL B-16348	1415542
A0A1C4WAS0	E-value: 22E-102;	Score: 800;	Ident.: 50.0%		unreviewed	Micromonospora haikouensis	686309
A0A1H9KEZ0	E-value: 23E-102;	Score: 797;	Ident.: 48.7%		unreviewed	Actinokineospora terrae	155974
A0A317RKC8	E-value: 32E-102;	Score: 796;	Ident.: 51.8%		unreviewed	Actinokineospora mzabensis	1470177
A0A1C5AJ14	E-value: 36E-102;	Score: 799;	Ident.: 50.7%		unreviewed	Micromonospora carbonacea	47853
A0A1C5G8L7	E-value: 38E-102;	Score: 798;	Ident.: 49.4%		unreviewed	Micromonospora echinofusca	47858
A0A1S8XLD3	E-value: 45E-102;	Score: 798;	Ident.: 50.0%		unreviewed	Micromonospora sp. Rc5	1920666
A0A1Q5KIP0	E-value: 49E-102;	Score: 796;	Ident.: 49.7%		unreviewed	Streptomyces sp. TSRI0107	1703942
A0A1Q8CXV9	E-value: 110E-102;	Score: 794;	Ident.: 49.6%		unreviewed	Actinophytocola xanthii	1912961
A0A1V4A3C4	E-value: 180E-102;	Score: 793;	Ident.: 50.4%		unreviewed	Streptomyces tsukubensis	83656
A0A1Q5ATV6	E-value: 220E-102;	Score: 793;	Ident.: 48.3%		unreviewed	Micromonospora sp. CB01531	1718947
A0A1C4Y2U2	E-value: 340E-102;	Score: 792;	Ident.: 49.9%		unreviewed	Micromonospora purpureochromogenes	47872
A0A1C4VSC9	E-value: 480E-102;	Score: 790;	Ident.: 49.1%		unreviewed	Micromonospora marina	307120
A0A0D0VLW8	E-value: 730E-102;	Score: 790;	Ident.: 49.4%		unreviewed	Micromonospora carbonacea	47853
A0A2N3YZN9	E-value: 1.8E-99;	Score: 787;	Ident.: 49.4%		unreviewed	Micromonospora sp. CNZ309	2035247
A0A1C5H7R6	E-value: 1.9E-99;	Score: 787;	Ident.: 49.1%		unreviewed	Micromonospora coxensis	356852
A0A1S2PSJ9	E-value: 2.7E-99;	Score: 785;	Ident.: 47.8%		unreviewed	Streptomyces sp. MUSC 1	1678012
A0A1C4UG55	E-value: 3.8E-99;	Score: 785;	Ident.: 49.6%		unreviewed	Micromonospora chaiyaphumensis	307119
A0A2P8AWI8	E-value: 5.3E-99;	Score: 784;	Ident.: 48.7%		unreviewed	Micromonospora sp. MH33	1945509
A0A1C6TYA2	E-value: 5.3E-99;	Score: 784;	Ident.: 48.7%		unreviewed	Micromonospora chersina	47854
A4X8H1	E-value: 5.5E-99;	Score: 783;	Ident.: 48.4%		unreviewed	Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / CNB-440)	369723
A0A285QUU2	E-value: 6.0E-99;	Score: 783;	Ident.: 49.9%		unreviewed	Streptomyces sp. 1331.2	1938835
A0A1Q4XU38	E-value: 6.2E-99;	Score: 783;	Ident.: 47.7%		unreviewed	Saccharothrix sp. CB00851	1835005
A0A1Q5CSD4	E-value: 9.4E-99;	Score: 783;	Ident.: 46.9%		unreviewed	Streptomyces sp. CB02058	1703921
A0A2A2Z985	E-value: 9.6E-99;	Score: 781;	Ident.: 49.6%		unreviewed	Streptomyces sp. SA15	934019
A0A1C5GPJ2	E-value: 21E-99;	Score: 779;	Ident.: 48.0%		unreviewed	Micromonospora humi	745366
A0A0M2RTA8	E-value: 21E-99;	Score: 780;	Ident.: 48.8%		unreviewed	Micromonospora sp. HK10	1538294
A0A066U6Q4	E-value: 24E-99;	Score: 778;	Ident.: 48.6%		unreviewed	Amycolatopsis rifamycinica	287986
A0A2P8I0Y1	E-value: 30E-99;	Score: 778;	Ident.: 48.0%		unreviewed	Saccharothrix carnea	1280637
A0A1C5HGM4	E-value: 44E-99;	Score: 778;	Ident.: 48.8%		unreviewed	Micromonospora halophytica	47864
A0A229HIR8	E-value: 76E-99;	Score: 777;	Ident.: 47.8%		unreviewed	Streptomyces sp. NBS 14/10	1945643
A0A1H9Q551	E-value: 88E-99;	Score: 775;	Ident.: 48.8%		unreviewed	Actinokineospora terrae	155974
A0A109IK52	E-value: 110E-99;	Score: 775;	Ident.: 48.1%		unreviewed	Micromonospora rifamycinica	291594
A0A2T3VD39	E-value: 120E-99;	Score: 775;	Ident.: 48.0%		unreviewed	Micromonospora sp. RP3T	2135446
D7C886	E-value: 170E-99;	Score: 776;	Ident.: 46.9%		unreviewed	Streptomyces bingchenggensis (strain BCW-1)	749414
A0A246R6Y3	E-value: 180E-99;	Score: 774;	Ident.: 49.1%		unreviewed	Micromonospora wenchangensis	1185415
A0A317K428	E-value: 210E-99;	Score: 773;	Ident.: 50.0%		unreviewed	Micromonospora sp. S4605	1420897
D2PT17	E-value: 490E-99;	Score: 770;	Ident.: 47.9%		unreviewed	Kribbella flavida (strain DSM 17836 / JCM 10339 / NBRC 14399)	479435
A0A1V2NYN1	E-value: 690E-99;	Score: 769;	Ident.: 47.3%		unreviewed	Kribbella sp. ALI-6-A	1933817
A0A1R1SD72	E-value: 810E-99;	Score: 770;	Ident.: 48.3%		unreviewed	Streptomyces sparsogenes DSM 40356	1331668
A0A1H4ZXM1	E-value: 1.1E-96;	Score: 767;	Ident.: 48.0%		unreviewed	Amycolatopsis tolypomycina	208445
A0A2W2CFP4	E-value: 1.2E-96;	Score: 768;	Ident.: 49.0%		unreviewed	Salinispora sp. 13K206	2070366
A0A1C4WJN3	E-value: 1.2E-96;	Score: 768;	Ident.: 48.1%		unreviewed	Micromonospora mirobrigensis	262898
A0A1Q5HLI5	E-value: 1.3E-96;	Score: 768;	Ident.: 48.0%		unreviewed	Micromonospora sp. TSRI0369	1703936
A0A1A8ZDX0	E-value: 1.3E-96;	Score: 768;	Ident.: 47.9%		unreviewed	Micromonospora auratinigra	261654
A0A1G8Y3D9	E-value: 1.3E-96;	Score: 767;	Ident.: 46.1%		unreviewed	Actinopolyspora mzabensis	995066
A0A2H4NRJ1	E-value: 1.6E-96;	Score: 766;	Ident.: 48.0%		unreviewed	Amycolatopsis sp.	37632
A0A1C5I050	E-value: 1.7E-96;	Score: 767;	Ident.: 49.1%		unreviewed	Micromonospora echinaurantiaca	47857
A0A2N8N0Z8	E-value: 2.1E-96;	Score: 765;	Ident.: 48.8%		unreviewed	Amycolatopsis sp. BJA-103	1911175
A0A1C4UZH8	E-value: 2.6E-96;	Score: 766;	Ident.: 48.6%		unreviewed	Micromonospora tulbaghiae	479978
A0A1E2U9B1	E-value: 3.6E-96;	Score: 765;	Ident.: 48.0%		unreviewed	Micromonospora sp. II	1852777
A0A1A9B9Y9	E-value: 5.0E-96;	Score: 764;	Ident.: 46.9%		unreviewed	Micromonospora sediminicola	946078
A0A2D1I5C2	E-value: 5.2E-96;	Score: 764;	Ident.: 46.9%		unreviewed	Micromonospora sp. WMMA2032	2039870
A0A1A8ZED1	E-value: 7.8E-96;	Score: 763;	Ident.: 46.8%		unreviewed	Micromonospora narathiwatensis	299146
A0A1C5AEB5	E-value: 8.1E-96;	Score: 763;	Ident.: 48.4%		unreviewed	Micromonospora matsumotoense	121616
A0A2S6GT14	E-value: 9.1E-96;	Score: 760;	Ident.: 49.3%		unreviewed	Actinokineospora auranticolor	155976
A0A1Q7C166	E-value: 9.2E-96;	Score: 762;	Ident.: 47.8%		unreviewed	Actinobacteria bacterium 13_2_20CM_2_71_6	1803494
A0A0N1FMD1	E-value: 9.2E-96;	Score: 763;	Ident.: 45.8%		unreviewed	Actinobacteria bacterium OK074	1592327
A0A221NTJ8	E-value: 11E-96;	Score: 760;	Ident.: 49.3%		unreviewed	Streptomyces pluripotens	1355015
D9SXW5	E-value: 15E-96;	Score: 761;	Ident.: 48.3%		unreviewed	Micromonospora aurantiaca (strain ATCC 27029 / DSM 43813 / BCRC 12538 / CBS 129.76 / JCM 10878 / NBRC 16125 / NRRL B-16091 / INA 9442)	644283
A0A1S1WB86	E-value: 15E-96;	Score: 761;	Ident.: 48.3%		unreviewed	Micromonospora sp. WMMB235	1172030
A0A1C6S4F0	E-value: 15E-96;	Score: 761;	Ident.: 48.3%		unreviewed	Micromonospora aurantiaca	47850
A0A0F0HVL1	E-value: 17E-96;	Score: 759;	Ident.: 47.7%		unreviewed	Saccharothrix sp. ST-888	1427391
W7VHM4	E-value: 20E-96;	Score: 760;	Ident.: 47.7%		unreviewed	Micromonospora sp. M42	457406
A0A1C4YPF2	E-value: 26E-96;	Score: 759;	Ident.: 46.8%		unreviewed	Micromonospora viridifaciens	1881
A0A1C5IWJ1	E-value: 29E-96;	Score: 759;	Ident.: 47.6%		unreviewed	Micromonospora siamensis	299152
A0A1C4ZPC6	E-value: 54E-96;	Score: 757;	Ident.: 47.7%		unreviewed	Micromonospora echinospora (Micromonospora purpurea)	1877
A0A2S5FRW9	E-value: 57E-96;	Score: 757;	Ident.: 47.4%		unreviewed	Micromonospora chalcea	1874
A0A1C6VYS4	E-value: 63E-96;	Score: 757;	Ident.: 47.8%		unreviewed	Micromonospora peucetia	47871
A0A2P7Z9R8	E-value: 65E-96;	Score: 756;	Ident.: 48.6%		unreviewed	Streptomyces sp. 111WW2	1945515
A0A1H2BCB6	E-value: 65E-96;	Score: 756;	Ident.: 48.6%		unreviewed	Streptomyces sp. 2114.2	1881022
D6ES43	E-value: 65E-96;	Score: 756;	Ident.: 48.6%		unreviewed	Streptomyces lividans TK24	457428
